title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor	actorAR	directorAR	languageAR	countryAR	genreAR	ratingAR	productionAR	distributionAR
Fireproof	2008	PG	7.0	122	Drama; Romance	Alex Kendrick	Kirk Cameron; Erin Bethea; Ken Bevel; Stephen Dervan	In Albany the marriage of Caleb and Catherine Holt is in crisis and they decide to divorce However Calebs father John proposes that his son delays their separation process for forty days and follow a procedure called The Love Dare to make them love each other again	English	USA		6.6	40.0	28	33451479.0	Sherwood Pictures	26-Sep-08	32852.0		49.0	4.0	500000.0	33456317.0	Samuel Goldwyn	131608220	32739269	17873617	18312090	25564815	32411955	32956317	3908536
Flash of Genius	2008	PG-13	13.0	119	Biography; Drama	Marc Abraham	Greg Kinnear; Tim Eddis; Warren Belle; Karl Pruner	Based on the true story of college professor and part-time inventor Robert Kearns long battle with the US automobile industry Flash of Genius tells the tale of one man whose fight to receive recognition for his ingenuity would come at a heavy price But this determined engineer refused to be silenced and he took on the corporate titans in a battle that nobody thought he could win The Kearns were a typical 1960s Detroit family trying to live their version of the American Dream Local university professor Bob married teacher Phyllis and by their mid-thirties had six kids who brought them a hectic but satisfying Midwestern existence When Bob invents a device that would eventually be used by every car in the world the Kearns think they have struck gold But their aspirations are dashed after the auto giants who embraced Bobs creation unceremoniously shunned the man who invented it Ignored threatened and then buried in years of litigation Bob is haunted by what was done to his family and their future He becomes a man obsessed with justice and the conviction that his lifes work-or for that matter anyones work-be acknowledged by those who stood to benefit And while paying the toll for refusing to compromise his dignity this everyday David will try the unthinkable: to bring Goliath to his knees	English; Spanish	Canada; USA	1 win	7.0	59.0	57	4234040.0	Universal Pictures	3-Oct-08	210793.0	44.0	369.0	14.0		4442377.0	Universal	29267554	3044582	36646372	33362845	22099989	20534031	26345508	26657449
The Forbidden Kingdom	2008	PG-13	13.0	104	Action; Adventure; Fantasy	Rob Minkoff	Jet Li; Michael Angarano; Jackie Chan; Juana Collignon	An American teenager who is obsessed with Hong Kong cinema and kung-fu classics makes an extraordinary discovery in a Chinatown pawnshop: the legendary stick weapon of the Chinese sage and warrior the Monkey King With the lost relic in hand the teenager unexpectedly finds himself traveling back to ancient China to join a crew of warriors from martial arts lore on a dangerous quest to free the imprisoned Monkey King	English; Mandarin	USA; China	5 nominations	6.6	64.0	57	40044561.0	Lionsgate	18-Apr-08	163302.0	14.0	133.0	11.0		52075270.0	Lionsgate	90211138	52075270	28102951	24980997	63228678	20534031	11929887	19635505
Forgetting Sarah Marshall	2008	R	17.0	111	Comedy; Drama; Romance	Nicholas Stoller	Jason Segel; Kristen Bell; Mila Kunis; Russell Brand	Peter is a composer and a likable sad sack whos devastated when his girlfriend of five years Sarah Marshall the star of a cheesy CSI-style crime show dumps him He weeps he rails he mopes Finally his step-brother Brian suggests Hawaii so Peter heads for a resort on Oahu where as hes checking in he sees Sarah and her new beau Aldous a polymorphously perverse English rocker The weeping and moping start again until Peter is rescued by Rachel a thoughtful hotel clerk who invites him to a luau and to hang out Although he constantly runs into Sarah and Aldous Peter starts to come alive again Will Sarah realize what shes lost and what about Rachel?	English; Hawaiian; German; Japanese	USA	4 wins & 19 nominations	7.2	84.0	67	62900000.0	Universal Pictures	18-Apr-08	234425.0	23.0	62.0	46.0	30000000.0	63172463.0	Universal	151120726	28070495	57258167	18312090	48532909	10903945	26345508	26657449
Four Christmases	2008	PG-13	13.0	88	Comedy; Drama; Romance	Seth Gordon	Vince Vaughn; Reese Witherspoon; Robert Duvall; Sissy Spacek	Brad and Kate have been together three years in love having fun doing all sorts of things together with no intention of marriage or children Christmas morning theyre on their way to Fiji having told their two sets of divorced parents that theyre off to do charity work Through a fluke they have no choice but to visit each of their four idiosyncratic parents As the day progresses Brad and Kate remember growing up each learns more about the other and Kate realizes that her life may not be as good as it could be Do they know each other well enough to weather the storms families bring?	English	Germany; USA	1 win & 1 nomination	5.6	24.0	41	120100000.0	New Line Cinema	26-Nov-08	998930.0	110.0	769.0	48.0	80000000.0	120146040.0	Warner Bros. (New Line)	66792085	21924793	17873617	27492021	48532909	20534031	15358729	41423256
Frozen River	2008	R	17.0	97	Crime; Drama	Courtney Hunt	Melissa Leo; Misty Upham; Charlie McDermott; Michael O'Keefe	Takes place in the days before Christmas near a little-known border crossing on the Mohawk reservation between New York State and Quebec Here the lure of fast money from smuggling presents a daily challenge to single moms who would otherwise be earning minimum wage Two women - one white one Mohawk both single mothers faced with desperate circumstances - are drawn into the world of border smuggling across the frozen water of the St Lawrence River Ray and Lila - and a New York State Trooper as opponent in an evolving cat-and-mouse game	English; French; Chinese; Urdu	USA	Nominated for 2 Oscars Another 32 wins & 37 nominations	7.2	88.0	82	2061019.0	Sony Pictures Classics	1-Aug-08	58543.0	2.0	37.0	18.0		2511476.0	Sony Classics	19547291	2511476	110244506	18312090	21728171	10903945	4912298	4384911
Garden Party	2008	NOT RATED		88	Drama	Jason Freeland	Tierra Abbott; Christopher Allport; Lisa Arturo; Erik Bragg	Are you young sexually confused just trying to get by? Do you sing dance or possess some other talent? Welcome to the Garden Party At the center of the story is 15-year-old April She is running from one bad situation into another hoping to find an answer that doesnt involve taking off her clothes As April navigates Los Angeles she falls in with a group of confused kids struggling to chase their dreams The black widow at the center of this web is a sexy pot-dealing realtor named Sally St Clair Anyone who gets too close falls victim to her kinky entanglements For some it goes bad for other worse	English	USA		5.6	15.0	31		Lionsgate	11-Jul-08	168759.0	26.0				21886.0	Roadside Attractions	87544	21886	17873617	18312090	10727269	96835	11929887	968607
Get Smart	2008	PG-13	13.0	110	Action; Adventure; Comedy	Peter Segal	Steve Carell; Anne Hathaway; Dwayne Johnson; Alan Arkin	American Maxwell Smart works for a Government spy agency in an administrative capacity When the agencys head office is attacked the Chief decides to assign Maxwell as a spy and partners him with sexy Agent 99 much to her chagrin The duo nevertheless set off to combat their attackers by first parachuting off an airplane and landing in Russian territory - followed closely by an over seven feet tall 400 pound goon known simply as Dalip The duo handicapped by Maxwells antics will eventually have their identities compromised and may be chalked up as casualties while back in America their attackers have already planted a bomb that is set-up to explode in a concert	English; Russian; Panjabi; Arabic	USA	2 wins & 6 nominations	6.5	50.0	54	130246343.0	Warner Bros. Pictures	20-Jun-08	12405.0	0.0	2.0	2.0	80000000.0	130319208.0	Warner Bros.	128239133	38748642	96632430	18312090	74441824	20534031	27495698	25532021
Gran Torino	2008	R	17.0	116	Drama	Clint Eastwood	Clint Eastwood; Christopher Carley; Bee Vang; Ahney Her	Walt Kowalski is a widower who holds onto his prejudices despite the changes in his Michigan neighborhood and the world around him Kowalski is a grumpy tough-minded unhappy old man who cant get along with either his kids or his neighbors He is a Korean War veteran whose prize possession is a 1972 Gran Torino he keeps in mint condition When his neighbor Thao a young Hmong teenager under pressure from his gang member cousin tries to steal his Gran Torino Kowalski sets out to reform the youth Drawn against his will into the life of Thaos family Kowalski is soon taking steps to protect them from the gangs that infest their neighborhood	English; Hmong	Germany; USA	Nominated for 1 Golden Globe Another 20 wins & 17 nominations	8.2	80.0	72	148055047.0	Warner Bros. Pictures/Village Roadshow	12-Dec-08	79706.0	16.0	118.0	8.0	33000000.0	148095302.0	Warner Bros.	420715125	24624924	132968919	27492021	10727269	10903945	75916404	25532021
Hamlet 2	2008	R	17.0	92	Comedy; Music	Andrew Fleming	Steve Coogan; Catherine Keener; Joseph Julian Soria; Skylar Astin	Dana Marschz is a failed actor and recovering alcoholic whos moved to Tucson to teach high school drama where hes plagued by bad reviews student indifference budget woes (he and his wife who is trying to get pregnant take in a boarder) and his own teaching limitations Because the other electives are closed he finds himself with a large class of seeming gang-bangers and the principal informs him that drama will be cut next trimester On the advice of a student reviewer Dana decides to stage his own play a sequel to Hamlet in which the prince and Jesus with the use of a time machine try to save Gertrude and Ophelia Can Dana for once pull something off?	English; Spanish	USA	3 nominations	6.4	63.0	54	4784111.0	Focus Features	22-Aug-08	91996.0	21.0	101.0	8.0	9000000.0	4886216.0	Focus Features	50547135	-2049356	36646372	18312090	39501659	10903945	10408181	8513200
Hancock	2008	PG-13	13.0	92	Action; Crime; Drama	Peter Berg	Will Smith; Charlize Theron; Jason Bateman; Jae Head	The powerful superhero John Hancock has become a joke because of his alcoholism and clumsiness He has also become the most hated man in Los Angeles Though he has saved many lives he also destroyed a lot of property costing the city millions every time he goes into action When he saves the life of PR expert Ray Embrey from an oncoming train the executive is thankful and believes he can restore Hancocks image as a true superhero He brings the anti-hero home for dinner and introduces him to his son Aaron a big fan and to his wife Mary But for some mysterious reason Mary doesnt want Hancock anywhere near her or her family	English; Japanese	USA	4 wins & 11 nominations	6.4	41.0	49	227946274.0	Columbia Pictures	2-Jul-08	32906.0	2.0	24.0	1.0	150000000.0	227946274.0	Sony / Columbia	265319357	38158467	27639723	18312090	40282196	20534031	20267428	21191761
The Happening	2008	R	17.0	91	Sci-Fi; Thriller	M. Night Shyamalan	Mark Wahlberg; Zooey Deschanel; John Leguizamo; Ashlyn Sanchez	Elliot Moore is a high school science teacher who quizzes his class one day about an article in the New York Times Its about the sudden mysterious disappearance of bees Yet again Nature is doing something inexplicable and whatever science has to say about it will be in the end only a theory Scientists will bring out more theories but no explanations when a more urgent dilemma hits the planet It begins in Central Park Suddenly and inexplicably the behavior of everyone in the park changes in a most bizarre and horrible way Soon the strange behavior spreads throughout the city and beyond Elliot his wife Alma and Jess the young daughter of a friend will only have theories to guide them where to run and where to hide But theories may not be enough	English; French	USA; India	3 wins & 10 nominations	5.0	18.0	34	64500000.0	20th Century Fox	13-Jun-08	1844836.0	1020.0	2092.0	313.0	48000000.0	64506874.0	Fox	131251359	6075538	35639607	43258685	39422132	10903945	26730820	26022736
Hellboy II: The Golden Army	2008	PG-13	13.0	120	Action; Adventure; Fantasy	Guillermo del Toro	Ron Perlman; Selma Blair; Doug Jones; John Alexander	In this continuation to the adventure of the demon superhero an evil elf breaks an ancient pact between humans and creatures as he declares war against humanity He is on a mission to release The Golden Army a deadly group of fighting machines that can destroy the human race As Hell on Earth is ready to erupt Hellboy and his crew set out to defeat the evil prince before The Golden Army can destroy humanitys existence	English; Scottish Gaelic	USA; Germany	Nominated for 1 Oscar Another 5 wins & 28 nominations	7.0	86.0	78	75754670.0	Universal Pictures	11-Jul-08	2963893.0	979.0	2582.0	164.0	85000000.0	75986503.0	Universal	-31705644	9358987	5428645	27492021	63228678	20534031	26345508	26657449
Henry Poole Is Here	2008	PG	7.0	99	Comedy; Drama	Mark Pellington	Luke Wilson; Radha Mitchell; Adriana Barraza; George Lopez	In a working class neighborhood in Los Angeles a world weary Henry Poole buys a house caring little about its lack of amenities He drinks and eats pizza Recent stucco work has left a brown stain in a patio wall and to Henrys irritation Esperanza a neighbor is certain she can see the face of Jesus in the stain She brings her priest then others Meanwhile Henry hears his conversations replayed over the fence in another neighbors yard: its Millie about 7 mute clutching a tape recorder He tells Millies mom why hes sad and angry The face on the wall seems to shed a tear of blood Is Henry beyond feeling any emotion?	English; Spanish	USA	1 nomination	6.5	38.0	44	1749146.0	Overture Films	15-Aug-08	339883.0	173.0	329.0	32.0		1836515.0	Overture Films	14788548	4661092	36646372	18312090	33695363	32411955	4820255	4660776
High School Musical 3: Senior Year	2008	G	1.0	112	Comedy; Drama; Family	Kenny Ortega	Zac Efron; Vanessa Hudgens; Ashley Tisdale; Lucas Grabeel	Troy and the gang of East High School are going through their senior year facing graduating and going their separate ways Coming to terms with the reality of it all Troy wants to attend the nearby University of Albuquerque next year on a basketball scholarship but Gabriella wants to attend Stanford University in California Meanwhile Sharpay the schools shallow and spoiled rich girl plots to go all out planning the schools final musical show with the idea to add music to her hopes and fears about the future While Sharpay takes an up-and-coming British exchange student under her wing her flamboyant fraternal twin brother Ryan has his sights set on something different after school In addition Troys best friend and basketball teammate Chad and Garbiellas best friend Taylor all have their sights set on their plans after high school and come to terms with the reality of the real world	English	USA	8 wins & 9 nominations	4.6	64.0	57	90535406.0	Walt Disney Pictures	24-Oct-08	1559552.0				11000000.0	90559416.0	Buena Vista	146502595	79559416	17873617	18312090	57967784	46884506	39535272	53164745
The House Bunny	2008	PG-13	13.0	97	Comedy; Romance	Fred Wolf	Anna Faris; Colin Hanks; Emma Stone; Kat Dennings	Finding family Shelley Darlingson was raised in an orphanage finally happy when she blossoms into a fox and moves into the Playboy Mansion Unfortunately shes summarily expelled on her 27th birthday(shes now too old) In desperation she takes a job as house mother for a sorority of misfits losing their house for lack of members They have but a few months to find 30 pledges or a sorority of mean girls will take over their place Shelley figures that girls will pledge a house that boys find interesting so she sets out to make the Zetas alluring not act too smart and host great parties Can she succeed and what about her own makeover? Sabotage is everywhere plus its hard to be ones self	English	USA	2 nominations	5.5	43.0	55	48237389.0	Sony Pictures/Columbia	22-Aug-08	2087827.0	170.0	2749.0	80.0	25000000.0	48237389.0	Sony / Columbia	107408716	14906335	17873617	18312090	37805640	20534031	18300229	21191761
Igor	2008	PG	7.0	87	Animation; Comedy; Family	Tony Leondis	John Cusack; Myleene Klass; Robin Howard; Matt McKenna	In a world filled with Mad Scientists and Evil Inventions one talented evil scientists hunch-backed lab assistant has big dreams of becoming a Mad Scientist himself and winning the annual Evil Science Fair	English	USA; France	1 nomination	6.0	37.0	40	19420496.0	MGM	19-Sep-08	35874.0	2.0	14.0	3.0	25000000.0	19528602.0	MGM	-11889931	15309057	17873617	28590532	97955633	32411955	13463140	5569539
In Bruges	2008	R	17.0	107	Comedy; Crime; Drama	Martin McDonagh	Elizabeth Berrington; Rudy Blomme; Olivier Bonjour; Mark Donovan	London based hit men Ray and Ken are told by their boss Harry Waters to lie low in Bruges Belgium for up to two weeks following their latest hit which resulted in the death of an innocent bystander Harry will be in touch with further instructions While they wait for Harrys call Ken following Harrys advice takes in the sights of the medieval city with great appreciation But the charms of Bruges are lost on the simpler Ray who is already despondent over the innocent death especially as it was his first job Things change for Ray when he meets Chloe part of a film crew shooting a movie starring an American dwarf named Jimmy When Harrys instructions arrive Ken for whom the job is directed isnt sure if he can carry out the new job especially as he has gained a new appreciation of life from his stay in the fairytale Bruges While Ken waits for the inevitable arrival into Bruges of an angry Harry who feels he must clean up matters on his own Ray is dealing with his own problems not only with Harry but with a Canadian couple and a half-blind thief named Eirik Ray hopes he can count on both Chloe and Ken to help him carve out a new life for himself In the end Harry involved in an incident with Jimmy may have to keep to his own principles	English	UK; USA	Nominated for 1 Oscar Another 24 wins & 53 nominations	7.9	84.0	67	7550836.0	Focus Features	8-Feb-08	20390.0	0.0	11.0	0.0		7800824.0	Focus Features	31203296	20391478	17873617	33377321	44696265	10903945	10408181	8513200
The Incredible Hulk	2008	PG-13	13.0	112	Action; Adventure; Sci-Fi	Louis Leterrier	Edward Norton; Liv Tyler; Tim Roth; William Hurt	Depicting the events after the Gamma Bomb The Incredible Hulk tells the story of Dr Bruce Banner who seeks a cure to his unique condition which causes him to turn into a giant green monster under emotional stress Whilst on the run from military which seeks his capture Banner comes close to a cure But all is lost when a new creature emerges The Abomination	English; Portuguese; Spanish	USA	1 win & 8 nominations	6.8	67.0	61	134518390.0	Universal Pictures	13-Jun-08	7710600.0	1742.0	3971.0	565.0	150000000.0	134806913.0	Universal	10145417	12875586	55406879	18312090	75295325	20534031	26345508	26657449
Indiana Jones and the Kingdom of the Crystal Skull	2008	PG-13	13.0	122	Action; Adventure; Fantasy	Steven Spielberg	Harrison Ford; Cate Blanchett; Karen Allen; Shia LaBeouf	During the Cold War Soviet agents watch Professor Henry Jones when a young man brings him a coded message from an aged demented colleague Harold Oxley Led by the brilliant Irina Spalko the Soviets tail Jones and the young man Mutt to Peru With Oxleys code they find a legendary skull made of a single piece of quartz If Jones can deliver the skull to its rightful place all may be well but if Irina takes it to its origin shell gain powers that could endanger the West Aging professor and young buck join forces with a woman from Jones past to face the dangers of the jungle Russia and the supernatural	English; German; Russian	USA	Nominated for 1 BAFTA Film Award Another 10 wins & 35 nominations	6.2	77.0	65	316957122.0	Paramount Pictures	22-May-08	197679.0	171.0	222.0	16.0	185000000.0	317101119.0	Paramount	306689761	45937192	49864320	18312090	63228678	20534031	19901623	21368996
Iron Man	2008	PG-13	13.0	126	Action; Adventure; Sci-Fi	Jon Favreau	Robert Downey Jr.; Terrence Howard; Jeff Bridges; Gwyneth Paltrow	Tony Stark Genius billionaire playboy philanthropist Son of legendary inventor and weapons contractor Howard Stark When Tony Stark is assigned to give a weapons presentation to an Iraqi unit led by Lt Col James Rhodes hes given a ride on enemy lines That ride ends badly when Starks Humvee that hes riding in is attacked by enemy combatants He survives - barely - with a chest full of shrapnel and a car battery attached to his heart In order to survive he comes up with a way to miniaturize the battery and figures out that the battery can power something else Thus Iron Man is born He uses the primitive device to escape from the cave in Iraq Once back home he then begins work on perfecting the Iron Man suit But the man who was put in charge of Stark Industries has plans of his own to take over Tonys technology for other matters	English; Persian; Urdu; Arabic; Hungarian	USA	Nominated for 2 Oscars Another 20 wins & 65 nominations	7.9	94.0	79	318298180.0	Paramount Pictures	2-May-08	9037.0	2.0	12.0	4.0	140000000.0	318412101.0	Paramount	249249156	121528826	133215255	18312090	75295325	20534031	19901623	21368996
Journey to the Center of the Earth	2008	PG	7.0	93	Action; Adventure; Family	Eric Brevig	Brendan Fraser; Josh Hutcherson; Anita Briem; Seth Meyers	Professor Trevor Anderson receives his teenager nephew Sean Anderson He will spend ten days with his uncle while his mother Elizabeth prepares to move to Canada She gives a box to Trevor that belonged to his missing brother Max and Trevor finds a book with references to the last journey of his brother He decides to follow the steps of Max with Sean and they travel to Iceland where they meet the guide Hannah Ásgeirsson While climbing a mountain there is a thunderstorm and they protect themselves in a cave However a lightening collapses the entrance and the trio is trapped in the cave They seek an exit and falls in a hole discovering a lost world in the center of the Earth	English; Icelandic; Italian	USA	3 wins & 3 nominations	5.8	61.0	57	101653320.0	Warner Bros. Pictures	11-Jul-08	29485.0	1.0	27.0	1.0	60000000.0	101704370.0	Warner Bros. (New Line)	99300870	30975190	44117610	18312090	75746151	32411955	27495698	41423256
Jumper	2008	PG-13	13.0	88	Action; Adventure; Sci-Fi	Doug Liman	Hayden Christensen; Jamie Bell; Rachel Bilson; Diane Lane	David Rice is a high school student in Ann Arbor abandoned by his mother at five living with his callous alcoholic father enamored with Millie a fellow student and picked on by at least one classmate On a winters day while about to drown he discovers he can transport himself instantaneously to anyplace on earth He runs away from home goes to New York City robs a bank vault and comes to the attention of a shadowy group of government hunters Eight years later the hunters led by the murderous Roland get a fix on David He heads home searches out Millie invites her to travel with him and only later realizes that Roland and his crew are seriously deadly Is everyone close to David in danger?	English; Italian; Japanese; Mandarin	USA; Canada	2 wins & 4 nominations	6.1	16.0	35	80055499.0	20th Century Fox	14-Feb-08	165966.0	37.0	523.0	48.0	85000000.0	80172128.0	Fox	20719073	-41310808	49454358	33362845	75295325	20534031	26730820	26022736
Kit Kittredge: An American Girl	2008	G	1.0	101	Drama; Family	Patricia Rozema	Abigail Breslin; Julia Ormond; Chris O'Donnell; Jane Krakowski	Kit Kittredge: An American Mystery centers around a young girl living in the struggles of the Great Depression 10 year old Kit lives in a boarding house her parents own in Cincinnati Ohio She has a passion for writing & dreams of having something of hers put in the local paper someday With the help of her friends Sterling & Ruthie will her dream finally come true?	English	USA; Canada	2 wins & 5 nominations	6.6	79.0	63	17533514.0	Picturehouse	20-Jun-08	359100.0	130.0	835.0	43.0	10000000.0	17657973.0	Picturehouse	31155475	7657973	17873617	33362845	34999690	46884506	3344940	3470004
Kung Fu Panda	2008	PG	7.0	92	Animation; Action; Adventure	Mark Osborne; John Stevenson	Jack Black; Dustin Hoffman; Angelina Jolie; Ian McShane	Its the story about a lazy irreverent slacker panda named Po who is the biggest fan of Kung Fu aroundwhich doesnt exactly come in handy while working every day in his familys noodle shop Unexpectedly chosen to fulfill an ancient prophecy Pos dreams become reality when he joins the world of Kung Fu and studies alongside his idols the legendary Furious Five -- Tigress Crane Mantis Viper and Monkey -- under the leadership of their guru Master Shifu But before they know it the vengeful and treacherous snow leopard Tai Lung is headed their way and its up to Po to defend everyone from the oncoming threat Can he turn his dreams of becoming a Kung Fu master into reality? Po puts his heart - and his girth - into the task and the unlikely hero ultimately finds that his greatest weaknesses turn out to be his greatest strengths	English	USA	Nominated for 1 Oscar Another 14 wins & 37 nominations	7.6	87.0	73	215395021.0	Paramount Pictures	6-Jun-08	1105152.0	94.0	1587.0	167.0	130000000.0	215434591.0	Paramount (DreamWorks)	91047375	170869182	17873617	18312090	102188848	32411955	19901623	41611899
Lakeview Terrace	2008	PG-13	13.0	110	Crime; Drama; Thriller	Neil LaBute	Samuel L. Jackson; Patrick Wilson; Kerry Washington; Ron Glass	In California the Caucasian Chris Mattson and his African-American wife Lisa Mattson move to a house in a gated community The racist and dysfunctional next-door neighbor is the abusive LAPD Officer Abel Turner who feels uncomfortable with the relationship of the newcomers and transforms their lives into Hell on Earth	English	USA	1 nomination	6.1	45.0	47	39263506.0	Sony Pictures/Screen Gems	19-Sep-08	3596.0	0.0	3.0	0.0	20000000.0	39263506.0	Sony / Screen Gems	101396729	973017	17873617	18312090	37328708	20534031	22187903	21950408
Last Chance Harvey	2008	PG-13	13.0	93	Drama; Romance	Joel Hopkins	Dustin Hoffman; Emma Thompson; Eileen Atkins; Kathy Baker	Harvey Shine is in London for the weekend for his daughters wedding His work in New York preoccupies him: he writes music for ads and he knows his boss is pushing him aside for younger talent With family hes also on the sidelines - long divorced his wife remarried her husband closer to his daughter than he His path crosses that of Kate Walker unmarried her life becoming that of a spinster set up by friends on blind dates leading nowhere After Harveys no good terrible day he chats Kate up at a Heathrow bar Shes not interested Where can this conversation lead? Back at his daughters reception the step-father rises to give a toast	English	USA	Nominated for 2 Golden Globes Another 1 win & 1 nomination	6.7	71.0	57	14840421.0	Overture Films	25-Dec-08	9356.0	2.0	10.0	0.0		14889042.0	Overture Films	63681417	14889042	17873617	18312090	25564815	20534031	4820255	4660776
Leatherheads	2008	PG-13	13.0	114	Comedy; Drama; Romance	George Clooney	John Krasinski; David de Vries; Rick Forrester; Craig S. Harper	A romantic comedy set against the backdrop of Americas nascent pro-football league in 1925 Dodge Connolly a charming brash football hero is determined to guide his team from bar brawls to packed stadiums But after the players lose their sponsor and the entire league faces certain collapse Dodge convinces a college football star to join his ragtag ranks The captain hopes his latest move will help the struggling sport finally capture the countrys attention Welcome to the team Carter Rutherford Americas favorite son A golden-boy war hero who single-handedly forced multiple German soldiers to surrender in WWI Carter has dashing good looks and unparalleled speed on the field This new champ is almost too good to be true and Lexie Littleton aims to prove thats the case A cub journalist playing in the big leagues Lexie is a spitfire newswoman who suspects there are holes in Carters war story But while she digs the two teammates start to become serious off-field rivals for her fickle affections As the new game of pro-football becomes less like the freewheeling sport he knew and loved Dodge must both fight to keep his guys together and to get the girl of his dreams Finding that love and football have a surprisingly similar playbook however he has one maneuver he will save just for the fourth quarter	English; German	USA; Germany	1 win & 3 nominations	6.0	52.0	56	31199215.0	Universal Pictures	4-Apr-08	15445.0	0.0	9.0	3.0	58000000.0	31373938.0	Universal	-75283062	7035817	38872272	27492021	48532909	20534031	26345508	26657449
The Love Guru	2008	PG-13	13.0	87	Comedy; Romance; Sport	Marco Schnabel	Jessica Simpson; Kanye West; Mike Myers; Deepak Chopra	Born in America but raised in Havemahkeeta in India with a population of 76 Maurice had always to better Deepak Chopra and be sexually active ever since he was 12 His Guru Tugginmypudha while approving of Deepak cautions Maurice and has a chastity belt put around his waist much to Maurices chagrin Years later Maurice has established himself as Guru Pitka in America but would like to appear in the Oprah Show and be better than Deepak Chopra When Jane Bullard from the the Toronto Maple Leafs hires him to counsel their star hockey player Darren Roanoke to win back his wife Prudence from Kings star player Jacques Grande and also stand up to his dominating mother Lilian he agrees to do so - with hilarious results	English	UK; Germany; USA	5 wins & 8 nominations	3.8	13.0	24	32178777.0	Paramount Pictures	20-Jun-08	15891.0	13.0	30.0	15.0	62000000.0	32235793.0	Paramount	2709418	-29764207	17873617	42557252	61130088	20534031	19901623	21368996
The Longshots	2008	PG	7.0	94	Biography; Comedy; Drama	Fred Durst	Ice Cube; Keke Palmer; Tasha Smith; Jill Marie Jones	The true story of Jasmine Plummer who at the age of eleven became the first female to play in Pop Warner football tournament in its 56-year history	English	USA	2 nominations	5.2	41.0	52	11389715.0	The Weinstein Company	22-Aug-08	52401.0	3.0	50.0	7.0		11537046.0	MGM (Weinstein)	85860816	11537046	17873617	18312090	45068083	32411955	12987838	19631722
The Lucky Ones	2008	R	17.0	115	Comedy; Drama; War	Neil Burger	Rachel McAdams; Tim Robbins; Michael Peña; Molly Hagan	The story revolves around three soldiers - Colee TK and Cheever - who return from the war after suffering injuries and learn that life has moved on without them They end up on an unexpected road trip across the US with Colee on a mission to bring her boyfriends guitar back to his family because he saved her life TK seeking confidence to face his wife after a shrapnel injury that threatens his sexual function and middle-aged Cheever planning to hit the casinos in a desperate effort to pay for his sons college tuition	English	USA		7.0	37.0	53	183088.0	Lionsgate	26-Sep-08	146716.0	27.0	151.0	10.0		266967.0	Lionsgate	64658132	35458239	17873617	18312090	36147206	10903945	11929887	19635505
Mad Money	2008	PG-13	13.0	104	Comedy; Crime; Thriller	Callie Khouri	Diane Keaton; Ted Danson; Katie Holmes; Adam Rothenberg	Don and Bridget Cardigans upper middle class lifestyle is threatened since Don who has been out of work for a year seems to have given up looking for a job and housewife Bridget has been out of the workforce for most of her life They are close to $300000 in debt Finding out this information Bridget comes to the conclusion that she needs to get a job - any job - that at least provides them with some benefits She reluctantly takes a job as a janitor at the Federal Reserve Bank of Kansas City Almost immediately Bridget is enthralled with all the old worn out money that is being shredded She comes up with a plan to get her old lifestyle back by stealing much of that money which she believes is an easy job since the locks used on the money carts are standard equipment and as she notices that no one ever checks the garbage as she goes about her work Her plan needs the cooperation of one person who works the shredder and one person who pushes the carts of money The two people she co-opts are single mom Nina Brewster and diabetic trailer living and constant music listening Jackie Truman Jackie is easy to convince but Nina is only convinced when Bridget brings it to her attention that the money would allow her to provide a better education to her two bright sons Nina vows to kill Bridget if she ever loses her children because of this scheme As the three woman progress with the plan it is threatened by: the banks head of security a man named Glover who believes it is impossible to steal money from the reserve another security guard at the reserve named Barry who seems to be attracted to Nina Jackies working class husband Bob who is not used to having money Don a conservative man who cant understand being on the wrong side of the law and Bridget herself who seems to be increasingly focused on getting more and more money with no end in sight which seems to be diverging from the priorities of her two accomplices	English	USA	2 nominations	5.8	22.0	41	20536106.0	Overture Films	18-Jan-08	30418.0	3.0	27.0	5.0		20668843.0	Overture Films	74249079	20668843	17873617	18312090	49569533	20534031	4820255	4660776
Madagascar: Escape 2 Africa	2008	PG	7.0	89	Animation; Action; Adventure	Eric Darnell; Tom McGrath	Ben Stiller; Chris Rock; David Schwimmer; Jada Pinkett Smith	The sequel to 2005s Madagascar in which New York Zoo animals Alex the Lion Marty the Zebra Melman the Giraffe and Gloria the Hippo still stranded on Madagascar start to leave the island All of a sudden they land in the wilderness of Africa where Alex meets the rest of his family but has trouble communicating with them after spending so much time at the Central Park Zoo	English; Italian	USA	3 wins & 11 nominations	6.7	64.0	61	179982968.0	Paramount Studios	7-Nov-08	626808.0				150000000.0	180010950.0	Paramount (DreamWorks)	309195435	162575466	29458918	18312090	102188848	32411955	25482415	41611899
